,Presidents,Sentences,Preprocessed_Sentences,Predicted_Label,Score
0,Mandela,"Madame Speaker and Deputy Speaker, President of the Senate and Deputy President, Deputy Presidents, Chief Justice, distinguished members of the National Assembly and the Senate, Provincial Premiers, Commanders of the Security Forces, members of the Diplomatic Corps, esteemed guests, comrades, ladies and gentlemen.","Madame Speaker and Deputy Speaker, President of the Senate and Deputy President, Deputy Presidents, Chief Justice, distinguished members of the National Assembly and the Senate, Provincial Premiers, Commanders of the Security Forces, members of the Diplomatic Corps, esteemed guests, comrades, ladies and gentlemen.",neutral,0.7992
1,Mandela,"The time will come when our nation will honour the memory of all the sons, the daughters, the mothers, the fathers, the youth and the children who, by their thoughts and deeds, gave us the right to assert with pride that we are South Africans, that we are Africans and that we are citizens of the world.","The time will come when our nation will honour the memory of all the sons, the daughters, the mothers, the fathers, the youth and the children who, by their thoughts and deeds, gave us the right to assert with pride that we are South Africans, that we are Africans and that we are citizens of the world.",positive,0.7046
2,Mandela,"The certainties that come with age tell me that among these we shall find an Afrikaner woman who transcended a particular experience and became a South African, an African and a citizen of the world.","The certainties that come with age tell me that among these we shall find an Afrikaner woman who transcended a particular experience and became a South African, an African and a citizen of the world.",neutral,0.6848
3,Mandela,Her name is Ingrid Jonker.,Her name is Ingrid Jonker.,neutral,0.9217
4,Mandela,She was both a poet and a South African.,She was both a poet and a South African.,neutral,0.7166
5,Mandela,She was both an Afrikaner and an African.,She was both an Afrikaner and an African.,neutral,0.9013
6,Mandela,She was both an artist and a human being.,She was both an artist and a human being.,positive,0.7243
7,Mandela,"In the midst of despair, she celebrated hope.","In the midst of despair, she celebrated hope.",positive,0.8669
8,Mandela,"Confronted with death, she asserted the beauty of life.","Confronted with death, she asserted the beauty of life.",positive,0.7244
9,Mandela,"In the dark days when all seemed hopeless in our country, when many refused to hear her resonant voice, she took her own life.","In the dark days when all seemed hopeless in our country, when many refused to hear her resonant voice, she took her own life.",negative,0.814
10,Mandela,"To her and others like her, we owe a debt to life itself.","To her and others like her, we owe a debt to life itself.",neutral,0.4885
11,Mandela,"To her and others like her, we owe a commitment to the poor, the oppressed, the wretched and the despised.","To her and others like her, we owe a commitment to the poor, the oppressed, the wretched and the despised.",negative,0.7512
12,Mandela,"In the aftermath of the massacre at the anti-pass demonstration in Sharpeville she wrote that:  ""The child is not dead the child lifts his fists against his mother who shouts Africa!...","In the aftermath of the massacre at the anti-pass demonstration in Sharpeville she wrote that:  ""The child is not dead the child lifts his fists against his mother who shouts Africa!...",negative,0.6415
13,Mandela,"The child is not dead Not at Langa nor at Nyanga nor at Orlando nor at Sharpeville nor at the police post at Philippi where he lies with a bullet through his brain...  the child is present at all assemblies and law-giving the child peers through the windows of houses and into the hearts of mothers this child who only wanted to play in the sun at Nyanga is everywhere  the child grown to a man treks on through all Africa the child grown to a giant journeys over the whole world without a pass!""","The child is not dead Not at Langa nor at Nyanga nor at Orlando nor at Sharpeville nor at the police post at Philippi where he lies with a bullet through his brain...  the child is present at all assemblies and law-giving the child peers through the windows of houses and into the hearts of mothers this child who only wanted to play in the sun at Nyanga is everywhere  the child grown to a man treks on through all Africa the child grown to a giant journeys over the whole world without a pass!""",neutral,0.6123
14,Mandela,"And in this glorious vision, she instructs that our endeavours must be about the liberation of the woman, the emancipation of the man and the liberty of the child.","And in this glorious vision, she instructs that our endeavours must be about the liberation of the woman, the emancipation of the man and the liberty of the child.",positive,0.8304
15,Mandela,It is these things that we must achieve to give meaning to our presence in this chamber and to give purpose to our occupancy of the seat of government.,It is these things that we must achieve to give meaning to our presence in this chamber and to give purpose to our occupancy of the seat of government.,neutral,0.6402
16,Mandela,"And so we must, constrained by and yet regardless of the accumulated effect of our historical burdens, seize the time to define for ourselves what we want to make of our shared destiny.","And so we must, constrained by and yet regardless of the accumulated effect of our historical burdens, seize the time to define for ourselves what we want to make of our shared destiny.",neutral,0.8118
17,Mandela,"The government I have the honour to lead and I dare say the masses who elected us to serve in this role, are inspired by the single vision of creating a people-centred society.","The government I have the honour to lead and I dare say the masses who elected us to serve in this role, are inspired by the single vision of creating a people-centred society.",positive,0.8186
18,Mandela,"Accordingly, the purpose that will drive this government shall be the expansion of the frontiers of human fulfilment, the continuous extension of the frontiers of the freedom.","Accordingly, the purpose that will drive this government shall be the expansion of the frontiers of human fulfilment, the continuous extension of the frontiers of the freedom.",neutral,0.6993
19,Mandela,"The acid test of the legitimacy of the programmes we elaborate, the government institutions we create, the legislation we adopt must be whether they serve these objectives.","The acid test of the legitimacy of the programmes we elaborate, the government institutions we create, the legislation we adopt must be whether they serve these objectives.",neutral,0.851
20,Mandela,Our single most important challenge is therefore to help establish a social order in which the freedom of the individual will truly mean the freedom of the individual.,Our single most important challenge is therefore to help establish a social order in which the freedom of the individual will truly mean the freedom of the individual.,neutral,0.5214
21,Mandela,We must construct that people-centred society of freedom in such a manner that it guarantees the political and the human rights of all our citizens.,We must construct that people-centred society of freedom in such a manner that it guarantees the political and the human rights of all our citizens.,neutral,0.5113
22,Mandela,"As an affirmation of the government's commitment to an entrenched human rights culture, we shall immediately take steps to inform the Secretary General of the United Nations that we will subscribe to the Universal Declaration of Human Rights.","As an affirmation of the government's commitment to an entrenched human rights culture, we shall immediately take steps to inform the Secretary General of the United Nations that we will subscribe to the Universal Declaration of Human Rights.",neutral,0.6195
23,Mandela,"We shall take steps to ensure that we accede to the International Covenant on Civil and Political Rights, the International Covenant on Social and Economic Rights and other human rights instruments of the United Nations.","We shall take steps to ensure that we accede to the International Covenant on Civil and Political Rights, the International Covenant on Social and Economic Rights and other human rights instruments of the United Nations.",neutral,0.7176
24,Mandela,Our definition of the freedom of the individual must be instructed by the fundamental objective to restore the human dignity of each and every South African.,Our definition of the freedom of the individual must be instructed by the fundamental objective to restore the human dignity of each and every South African.,neutral,0.7739
25,Mandela,This requires that we speak not only of political freedoms.,This requires that we speak not only of political freedoms.,neutral,0.8544
