,Presidents,Sentences,Preprocessed_Sentences,Predicted_Label,Score,Sentiment_Score
0,Mandela,"Madame Speaker and Deputy Speaker, President of the Senate and Deputy President, Deputy Presidents, Chief Justice, distinguished members of the National Assembly and the Senate, Provincial Premiers, Commanders of the Security Forces, members of the Diplomatic Corps, esteemed guests, comrades, ladies and gentlemen.","Madame Speaker and Deputy Speaker, President of the Senate and Deputy President, Deputy Presidents, Chief Justice, distinguished members of the National Assembly and the Senate, Provincial Premiers, Commanders of the Security Forces, members of the Diplomatic Corps, esteemed guests, comrades, ladies and gentlemen.",neutral,0.7992,0.1774342404678464
1,Mandela,"The time will come when our nation will honour the memory of all the sons, the daughters, the mothers, the fathers, the youth and the children who, by their thoughts and deeds, gave us the right to assert with pride that we are South Africans, that we are Africans and that we are citizens of the world.","The time will come when our nation will honour the memory of all the sons, the daughters, the mothers, the fathers, the youth and the children who, by their thoughts and deeds, gave us the right to assert with pride that we are South Africans, that we are Africans and that we are citizens of the world.",positive,0.7046,0.6919102724641562
2,Mandela,"The certainties that come with age tell me that among these we shall find an Afrikaner woman who transcended a particular experience and became a South African, an African and a citizen of the world.","The certainties that come with age tell me that among these we shall find an Afrikaner woman who transcended a particular experience and became a South African, an African and a citizen of the world.",neutral,0.6848,0.285620529204607
3,Mandela,Her name is Ingrid Jonker.,Her name is Ingrid Jonker.,neutral,0.9217,0.021426938474178314
4,Mandela,She was both a poet and a South African.,She was both a poet and a South African.,neutral,0.7166,0.25443318486213684
5,Mandela,She was both an Afrikaner and an African.,She was both an Afrikaner and an African.,neutral,0.9013,-0.025871984660625458
6,Mandela,She was both an artist and a human being.,She was both an artist and a human being.,positive,0.7243,0.6970256716012955
7,Mandela,"In the midst of despair, she celebrated hope.","In the midst of despair, she celebrated hope.",positive,0.8669,0.8508877605199814
8,Mandela,"Confronted with death, she asserted the beauty of life.","Confronted with death, she asserted the beauty of life.",positive,0.7244,0.6968687325716019
9,Mandela,"In the dark days when all seemed hopeless in our country, when many refused to hear her resonant voice, she took her own life.","In the dark days when all seemed hopeless in our country, when many refused to hear her resonant voice, she took her own life.",negative,0.814,-0.7959442138671875
10,Mandela,"To her and others like her, we owe a debt to life itself.","To her and others like her, we owe a debt to life itself.",neutral,0.4885,-0.28003548085689545
