,Presidents,Sentences,Preprocessed_Sentences,Sentiment_Score,Predicted_Label
0,Mandela,"Madame Speaker and Deputy Speaker, President of the Senate and Deputy President, Deputy Presidents, Chief Justice, distinguished members of the National Assembly and the Senate, Provincial Premiers, Commanders of the Security Forces, members of the Diplomatic Corps, esteemed guests, comrades, ladies and gentlemen.","Madame Speaker and Deputy Speaker, President of the Senate and Deputy President, Deputy Presidents, Chief Justice, distinguished members of the National Assembly and the Senate, Provincial Premiers, Commanders of the Security Forces, members of the Diplomatic Corps, esteemed guests, comrades, ladies and gentlemen.",0.38836485892534256,Positive
1,Mandela,"The time will come when our nation will honour the memory of all the sons, the daughters, the mothers, the fathers, the youth and the children who, by their thoughts and deeds, gave us the right to assert with pride that we are South Africans, that we are Africans and that we are citizens of the world.","The time will come when our nation will honour the memory of all the sons, the daughters, the mothers, the fathers, the youth and the children who, by their thoughts and deeds, gave us the right to assert with pride that we are South Africans, that we are Africans and that we are citizens of the world.",0.7840619161725044,Positive
2,Mandela,"The certainties that come with age tell me that among these we shall find an Afrikaner woman who transcended a particular experience and became a South African, an African and a citizen of the world.","The certainties that come with age tell me that among these we shall find an Afrikaner woman who transcended a particular experience and became a South African, an African and a citizen of the world.",0.2666017487645149,Neutral
3,Mandela,Her name is Ingrid Jonker.,Her name is Ingrid Jonker.,0.05632883310317993,Neutral
4,Mandela,She was both a poet and a South African.,She was both a poet and a South African.,0.653285801410675,Positive
5,Mandela,She was both an Afrikaner and an African.,She was both an Afrikaner and an African.,-0.053790733218193054,Neutral
6,Mandela,She was both an artist and a human being.,She was both an artist and a human being.,0.7788773626089096,Positive
7,Mandela,"In the midst of despair, she celebrated hope.","In the midst of despair, she celebrated hope.",0.842148307710886,Positive
8,Mandela,"Confronted with death, she asserted the beauty of life.","Confronted with death, she asserted the beauty of life.",0.6377985551953316,Positive
9,Mandela,"In the dark days when all seemed hopeless in our country, when many refused to hear her resonant voice, she took her own life.","In the dark days when all seemed hopeless in our country, when many refused to hear her resonant voice, she took her own life.",-0.589387446641922,Negative
10,Mandela,"To her and others like her, we owe a debt to life itself.","To her and others like her, we owe a debt to life itself.",-0.6149272248148918,Negative
11,Mandela,"To her and others like her, we owe a commitment to the poor, the oppressed, the wretched and the despised.","To her and others like her, we owe a commitment to the poor, the oppressed, the wretched and the despised.",0.10401555895805359,Positive
12,Mandela,"In the aftermath of the massacre at the anti-pass demonstration in Sharpeville she wrote that:  ""The child is not dead the child lifts his fists against his mother who shouts Africa!...","In the aftermath of the massacre at the anti-pass demonstration in Sharpeville she wrote that:  ""The child is not dead the child lifts his fists against his mother who shouts Africa!...",-0.5794590041041374,Negative
13,Mandela,"The child is not dead Not at Langa nor at Nyanga nor at Orlando nor at Sharpeville nor at the police post at Philippi where he lies with a bullet through his brain...  the child is present at all assemblies and law-giving the child peers through the windows of houses and into the hearts of mothers this child who only wanted to play in the sun at Nyanga is everywhere  the child grown to a man treks on through all Africa the child grown to a giant journeys over the whole world without a pass!""","The child is not dead Not at Langa nor at Nyanga nor at Orlando nor at Sharpeville nor at the police post at Philippi where he lies with a bullet through his brain...  the child is present at all assemblies and law-giving the child peers through the windows of houses and into the hearts of mothers this child who only wanted to play in the sun at Nyanga is everywhere  the child grown to a man treks on through all Africa the child grown to a giant journeys over the whole world without a pass!""",-0.19345714151859283,Negative
14,Mandela,"And in this glorious vision, she instructs that our endeavours must be about the liberation of the woman, the emancipation of the man and the liberty of the child.","And in this glorious vision, she instructs that our endeavours must be about the liberation of the woman, the emancipation of the man and the liberty of the child.",0.6985801160335541,Positive
15,Mandela,It is these things that we must achieve to give meaning to our presence in this chamber and to give purpose to our occupancy of the seat of government.,It is these things that we must achieve to give meaning to our presence in this chamber and to give purpose to our occupancy of the seat of government.,0.5406307950615883,Positive
16,Mandela,"And so we must, constrained by and yet regardless of the accumulated effect of our historical burdens, seize the time to define for ourselves what we want to make of our shared destiny.","And so we must, constrained by and yet regardless of the accumulated effect of our historical burdens, seize the time to define for ourselves what we want to make of our shared destiny.",0.3565298095345497,Positive
17,Mandela,"The government I have the honour to lead and I dare say the masses who elected us to serve in this role, are inspired by the single vision of creating a people-centred society.","The government I have the honour to lead and I dare say the masses who elected us to serve in this role, are inspired by the single vision of creating a people-centred society.",0.6451319307088852,Positive
18,Mandela,"Accordingly, the purpose that will drive this government shall be the expansion of the frontiers of human fulfilment, the continuous extension of the frontiers of the freedom.","Accordingly, the purpose that will drive this government shall be the expansion of the frontiers of human fulfilment, the continuous extension of the frontiers of the freedom.",0.4986036568880081,Positive
19,Mandela,"The acid test of the legitimacy of the programmes we elaborate, the government institutions we create, the legislation we adopt must be whether they serve these objectives.","The acid test of the legitimacy of the programmes we elaborate, the government institutions we create, the legislation we adopt must be whether they serve these objectives.",0.05459389090538025,Neutral
20,Mandela,Our single most important challenge is therefore to help establish a social order in which the freedom of the individual will truly mean the freedom of the individual.,Our single most important challenge is therefore to help establish a social order in which the freedom of the individual will truly mean the freedom of the individual.,0.6008717454969883,Positive
21,Mandela,We must construct that people-centred society of freedom in such a manner that it guarantees the political and the human rights of all our citizens.,We must construct that people-centred society of freedom in such a manner that it guarantees the political and the human rights of all our citizens.,0.7417738288640976,Positive
22,Mandela,"As an affirmation of the government's commitment to an entrenched human rights culture, we shall immediately take steps to inform the Secretary General of the United Nations that we will subscribe to the Universal Declaration of Human Rights.","As an affirmation of the government's commitment to an entrenched human rights culture, we shall immediately take steps to inform the Secretary General of the United Nations that we will subscribe to the Universal Declaration of Human Rights.",0.5451552420854568,Positive
23,Mandela,"We shall take steps to ensure that we accede to the International Covenant on Civil and Political Rights, the International Covenant on Social and Economic Rights and other human rights instruments of the United Nations.","We shall take steps to ensure that we accede to the International Covenant on Civil and Political Rights, the International Covenant on Social and Economic Rights and other human rights instruments of the United Nations.",0.39276470616459846,Neutral
24,Mandela,Our definition of the freedom of the individual must be instructed by the fundamental objective to restore the human dignity of each and every South African.,Our definition of the freedom of the individual must be instructed by the fundamental objective to restore the human dignity of each and every South African.,0.3754907697439194,Neutral
25,Mandela,This requires that we speak not only of political freedoms.,This requires that we speak not only of political freedoms.,-0.21952339261770248,Neutral
26,Mandela,"My government's commitment to create a people-centred society of liberty binds us to the pursuit of the goals of freedom from want, freedom from hunger, freedom from deprivation, freedom from ignorance, freedom from suppression and freedom from fear.","My government's commitment to create a people-centred society of liberty binds us to the pursuit of the goals of freedom from want, freedom from hunger, freedom from deprivation, freedom from ignorance, freedom from suppression and freedom from fear.",0.7975116148591042,Positive
27,Mandela,These freedoms are fundamental to the guarantee of human dignity.,These freedoms are fundamental to the guarantee of human dignity.,0.49137961119413376,Positive
28,Mandela,"They will therefore constitute part of the centrepiece of what this government will seek to achieve, the focal point on which our attention will be continuously focused.","They will therefore constitute part of the centrepiece of what this government will seek to achieve, the focal point on which our attention will be continuously focused.",0.27007484436035156,Neutral
29,Mandela,"The things we have said constitute the true meaning, the justification and the purpose of the Reconstruction and Development Programme, without which it would lose all legitimacy.","The things we have said constitute the true meaning, the justification and the purpose of the Reconstruction and Development Programme, without which it would lose all legitimacy.",-0.17054300010204315,Negative
30,Mandela,When we elaborated this Programme we were inspired by the hope that all South Africans of goodwill could join together to provide a better life for all.,When we elaborated this Programme we were inspired by the hope that all South Africans of goodwill could join together to provide a better life for all.,0.9118652399629354,Positive
31,Mandela,We were pleased that other political organisations announced similar aims.,We were pleased that other political organisations announced similar aims.,0.9672494372352958,Positive
32,Mandela,"Today, I am happy to announce that the Cabinet of the Government of National Unity has reached consensus not only on the broad objective of the creation of the people-centred society of which I have spoken, but also on many elements of a plan broadly based on that Programme for Reconstruction and Development.","Today, I am happy to announce that the Cabinet of the Government of National Unity has reached consensus not only on the broad objective of the creation of the people-centred society of which I have spoken, but also on many elements of a plan broadly based on that Programme for Reconstruction and Development.",0.8916224595159292,Positive
33,Mandela,Let me indicate some of the more important agreements.,Let me indicate some of the more important agreements.,-0.035263894125819206,Neutral
34,Mandela,"Annually, in the combined budgets of central government and the provinces, we will provide for an increasing amount of funding for the plan.","Annually, in the combined budgets of central government and the provinces, we will provide for an increasing amount of funding for the plan.",0.33652034774422646,Neutral
35,Mandela,"This will start with an appropriation of R2,5 billion in the 1994/95 budget that will be presented next month.","This will start with an appropriation of R2,5 billion in the 1994/95 budget that will be presented next month.",0.03911036252975464,Neutral
36,Mandela,This should rise to more than R10 billion by the fifth year of the life of this government.,This should rise to more than R10 billion by the fifth year of the life of this government.,0.29895055294036865,Positive
37,Mandela,Government will also use its own allocation of funds to the Reconstruction and Development Plan to exert maximum leverage in marshalling funds from within South Africa and abroad.,Government will also use its own allocation of funds to the Reconstruction and Development Plan to exert maximum leverage in marshalling funds from within South Africa and abroad.,0.3235391527414322,Positive
38,Mandela,"In this regard, I am pleased to report that we have been holding consultation with some of the principal business leaders of our country.","In this regard, I am pleased to report that we have been holding consultation with some of the principal business leaders of our country.",0.9349635015241802,Positive
39,Mandela,"Consequently, we are assured that the business sector can and will make a significant contribution towards the structuring and management of such reconstruction and development funds, towards the effective identification and implementation of projects and by supporting the financing of the socio-economic development effort.","Consequently, we are assured that the business sector can and will make a significant contribution towards the structuring and management of such reconstruction and development funds, towards the effective identification and implementation of projects and by supporting the financing of the socio-economic development effort.",0.808595197275281,Positive
40,Mandela,I am also pleased to report that many of our friends abroad have already made commitments to assist us to generate the reconstruction and development funds we need.,I am also pleased to report that many of our friends abroad have already made commitments to assist us to generate the reconstruction and development funds we need.,0.9560012277215719,Positive
